partido_id;a;b;prob
CUR_CIV;0;4;0,0263
CUR_CIV;0;5;0,0101
CUR_CIV;0;6;0,0032
CUR_CIV;1;0;0,0456
CUR_CIV;1;1;0,1114
CUR_CIV;1;2;0,0988
CUR_CIV;1;3;0,0631
CUR_CIV;1;4;0,0302
CUR_CIV;1;5;0,0116
CUR_CIV;1;6;0,0037
CUR_CIV;2;0;0,0309
CUR_CIV;2;1;0,0593
CUR_CIV;2;2;0,0568
CUR_CIV;2;3;0,0363
CUR_CIV;2;4;0,0174
CUR_CIV;2;5;0,0067
CUR_CIV;2;6;0,0021
CUR_CIV;3;0;0,0119
CUR_CIV;3;1;0,0227
CUR_CIV;3;2;0,0218
CUR_CIV;3;3;0,0139
CUR_CIV;3;4;0,0067
CUR_CIV;3;5;0,0025
CUR_CIV;4;0;0,0034
CUR_CIV;4;1;0,0065
CUR_CIV;4;2;0,0063
CUR_CIV;4;3;0,004
CUR_CIV;4;4;0,0019
CUR_CIV;5;1;0,0015
CUR_CIV;5;2;0,0014
CUR_ECU;0;0;0,0882
CUR_ECU;0;1;0,1443
CUR_ECU;0;2;0,1435
CUR_ECU;0;3;0,0903
CUR_ECU;0;4;0,0426
CUR_ECU;0;5;0,0161
CUR_ECU;0;6;0,0051
CUR_ECU;1;0;0,0434
CUR_ECU;1;1;0,1042
CUR_ECU;1;2;0,0911
CUR_ECU;1;3;0,0573
CUR_ECU;1;4;0,0271
CUR_ECU;1;5;0,0102
CUR_ECU;1;6;0,0032
CUR_ECU;2;0;0,0162
CUR_ECU;2;1;0,0306
CUR_ECU;2;2;0,0289
CUR_ECU;2;3;0,0182
CUR_ECU;2;4;0,0086
CUR_ECU;2;5;0,0032
CUR_ECU;2;6;0,001
CUR_ECU;3;0;0,0034
CUR_ECU;3;1;0,0065
CUR_ECU;3;2;0,0061
CUR_ECU;3;3;0,0038
CUR_ECU;3;4;0,0018
CUR_ECU;4;1;0,001
CUR_GER;0;0;0,0553
CUR_GER;0;1;0,1109
CUR_GER;0;2;0,1388
CUR_GER;0;3;0,1098
CUR_GER;0;4;0,0652
CUR_GER;0;5;0,0309
CUR_GER;0;6;0,0122
CUR_GER;1;0;0,0259
CUR_GER;1;1;0,0818
CUR_GER;1;2;0,0899
CUR_GER;1;3;0,0711
CUR_GER;1;4;0,0422
CUR_GER;1;5;0,02
CUR_GER;1;6;0,0079
CUR_GER;2;0;0,0103
CUR_GER;2;1;0,0245
CUR_GER;2;2;0,0291
CUR_GER;2;3;0,023
CUR_GER;2;4;0,0137
CUR_GER;2;5;0,0065
CUR_GER;2;6;0,0026
CUR_GER;3;0;0,0022
CUR_GER;3;1;0,0053
CUR_GER;3;2;0,0063
CUR_GER;3;3;0,005
CUR_GER;3;4;0,003
CUR_GER;3;5;0,0014
CUR_GER;4;2;0,001
ECU_GER;0;0;0,0782
ECU_GER;0;1;0,0915
ECU_GER;0;2;0,0749
ECU_GER;0;3;0,0369
ECU_GER;0;4;0,0136
ECU_GER;0;5;0,004
ECU_GER;1;0;0,0726
ECU_GER;1;1;0,1316
ECU_GER;1;2;0,0901
ECU_GER;1;3;0,0444
ECU_GER;1;4;0,0164
ECU_GER;1;5;0,0049
ECU_GER;1;6;0,0012
ECU_GER;2;0;0,0496
ECU_GER;2;1;0,0734
ECU_GER;2;2;0,0542
ECU_GER;2;3;0,0267
ECU_GER;2;4;0,0099
ECU_GER;2;5;0,0029
ECU_GER;3;0;0,0199
ECU_GER;3;1;0,0294
ECU_GER;3;2;0,0218
ECU_GER;3;3;0,0107
ECU_GER;3;4;0,004
ECU_GER;3;5;0,0012
ECU_GER;4;0;0,006
ECU_GER;4;1;0,0089
ECU_GER;4;2;0,0066
ECU_GER;4;3;0,0032
ECU_GER;4;4;0,0012
ECU_GER;5;0;0,0014
ECU_GER;5;1;0,0021
ECU_GER;5;2;0,0016
EGY_BEL;0;0;0,0686
EGY_BEL;0;1;0,0977
EGY_BEL;0;2;0,0949
EGY_BEL;0;3;0,0564
EGY_BEL;0;4;0,0251
EGY_BEL;0;5;0,009
EGY_BEL;0;6;0,0027
EGY_BEL;1;0;0,0531
EGY_BEL;1;1;0,1193
EGY_BEL;1;2;0,0985
EGY_BEL;1;3;0,0585
EGY_BEL;1;4;0,0261
EGY_BEL;1;5;0,0093
EGY_BEL;1;6;0,0028
EGY_BEL;2;0;0,0322
EGY_BEL;2;1;0,0573
EGY_BEL;2;2;0,0511
EGY_BEL;2;3;0,0304
EGY_BEL;2;4;0,0135
EGY_BEL;2;5;0,0048
EGY_BEL;2;6;0,0014
EGY_BEL;3;0;0,0111
EGY_BEL;3;1;0,0198
EGY_BEL;3;2;0,0177
EGY_BEL;3;3;0,0105
EGY_BEL;3;4;0,0047
EGY_BEL;3;5;0,0017
EGY_BEL;4;0;0,0029
EGY_BEL;4;1;0,0051
