jugador;partidos_amonestado
Ibrahim Al-Khatal;2
Ibrahim Bayesh;1
Ibrahim Diakité;1
Ibrahim Djingarey;1
Ibrahim Hamad;2
Ibrahim Hesar;1
Ibrahim Matobo;1
Ibrahim Mbaye;1
Ibrahim Sadeh;1
Ibrahim Sangaré;2
Ibrahima Cisse;1
Ibrahima Keita;1
Ibrahima Konaté;2
Ibrahima Sissoko;1
Idan Nachmias;1
Iddrisu Baba;1
Idris Mohamed;1
Idriss Houmed Bilha;1
Idrissa Gana Gueye;1
Ignacio Antonetti;1
Igoh Ogbu;1
Igor Lichnovsky;1
Igor Nikić;1
Il-song Ri;1
Ilmari Niskanen;2
Ilounga Pata;1
Ilya Zabarnyi;1
Immanuel Pherai;1
Imra Raheriniaina;2
Innocent Dlamini;1
Innocent Nshuti;2
Insa Boye;1
Ioan-Calin Revenco;1
Ioannis Kousoulos;1
Ioannis Pittas;3
Irvin Cardona;1
Isaac Hayden;3
Isaac Price;1
Isak Hien;2
Isaï Marselia;1
Ishmael Wadi;1
Isidro Pitta;1
Islam Chesnokov;1
Islam Issa;2
Islambek Kuat;2
Ismael Díaz;1
Ismael Gharbi;2
Ismael Koné;6
Ismael Saibari;1
Ismahila Ouédraogo;1
Ismail Jakobs;1
Ismaël Bennacer;3
Ismaël Boura;1
Isnik Alimi;1
Israel Reyes;1
Issa Diop;1
Issa Kaboré;1
Issa Kane;1
Issam Al-Subhi;2
Issoufou Dayo;2
Ivan Kalyuzhnyi;1
Ivan Perišić;2
Ivan Šunjić;2
Ivar Jenner;1
Ivica Ivušić;1
Iván Piris;1
Iván Román;1
Iyad Mohamed;1
Izwan Mahbud;1
Jack Lahne;1
Jack McGlynn;1
Jack Taylor;2
Jackson Tchatchoua;2
Jacob Mahler;2
Jacob Shaffelburg;2
Jadon Abrams;1
Jae-sung Lee;2
Jaiden Bartolo;1
Jairo Concha;1
Jaka Bijol;1
Jake Grech;1
Jake O'Brien;1
Jakub Kiwior;1
Jakub Moder;1
James Rodríguez;1
Jamie Reid;1
Jaminton Campaz;1
Jan Bednarek;2
Jan Paul van Hecke;2
Jan Vertonghen;1
Jan Ziółkowski;1
Jan-Carlo Simić;1
Jane Thaba-Ntso;1
Jani Atanasov;1
Jannik Vestergaard;3
Janpol Morales;1
Jared Nathan Clark;1
Jaroslav Zelený;1
Jarrad Branthwaite;1
Jasim Al-Shaikh;1
Jason Ferré;1
Jason Geria;2
Jason Knight;2
Jason Thayaparan;2
Javier Jiménez;1
Javier Mum;1
Jawad El Yamiq;1
Jay Idzes;1
Jayden Adams;1
Jayden Nelson;3
Jayson Molumby;3
Jean Carlos López;2
Jean Claude Girumugisha;1
Jean Michaël Seri;1
Jean Pascal Colin;1
Jean-Kévin Duverne;2
Jean-Paul Boëtius;1
